Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time,Comment
2020-01-10,Incline Barbell Bench Press,Chest,40.0,12,,,,""
2020-01-10,Incline Barbell Bench Press,Chest,40.0,10,,,,""
2020-01-10,Incline Barbell Bench Press,Chest,50.0,6,,,,""
2020-01-10,Incline Barbell Bench Press,Chest,50.0,6,,,,""
2020-01-10,Incline Barbell Bench Press,Chest,50.0,6,,,,""
2020-01-14,Military Press,Shoulders,5.0,12,,,,""
2020-01-15,Incline Barbell Bench Press,Chest,40.0,12,,,,""
2020-01-15,Incline Barbell Bench Press,Chest,40.0,10,,,,""
2020-01-15,Incline Barbell Bench Press,Chest,50.0,4,,,,""
2020-01-15,Incline Barbell Bench Press,Chest,50.0,1,,,,""
2020-01-15,Incline Barbell Bench Press,Chest,50.0,6,,,,""
2020-01-15,Incline Barbell Bench Press,Chest,55.0,4,,,,""
2020-01-15,Close Grip Barbell Bench Press,Triceps,40.0,6,,,,""
2020-01-15,Close Grip Barbell Bench Press,Triceps,45.0,5,,,,""
2020-01-15,Close Grip Barbell Bench Press,Triceps,50.0,4,,,,""
2020-01-15,Dumbbell Curl,Biceps,36.0,6,,,,""
2020-01-15,Dumbbell Curl,Biceps,40.0,6,,,,""
2020-01-15,Dumbbell Curl,Biceps,44.0,4,,,,""
2020-01-15,Dumbbell Overhead Triceps Extension,Triceps,34.0,6,,,,""
2020-01-15,Dumbbell Overhead Triceps Extension,Triceps,36.0,6,,,,""
2020-01-16,Barbell Squat,Legs,50.0,12,,,,""
2020-01-16,Barbell Squat,Legs,50.0,10,,,,""
2020-01-16,Barbell Squat,Legs,70.0,4,,,,""
2020-01-16,Barbell Squat,Legs,75.0,1,,,,""
2020-01-16,Barbell Squat,Legs,75.0,6,,,,""
2020-01-16,Barbell Squat,Legs,80.0,5,,,,""
2020-01-16,Leg Press,Legs,200.0,6,,,,""
2020-01-16,Leg Press,Legs,210.0,6,,,,""
2020-01-16,Leg Press,Legs,220.0,6,,,,""
2020-01-16,Romanian Deadlift,Legs,90.0,6,,,,""
2020-01-16,Romanian Deadlift,Legs,100.0,6,,,,""
2020-01-16,Romanian Deadlift,Legs,100.0,5,,,,""
2020-01-16,Lateral Dumbbell Raise,Shoulders,20.0,6,,,,""
2020-01-16,Lateral Dumbbell Raise,Shoulders,25.0,6,,,,""
2020-01-16,Lateral Dumbbell Raise,Shoulders,25.0,6,,,,""
2020-01-16,Rear Delt Dumbbell Raise,Shoulders,38.0,6,,,,""
2020-01-16,Rear Delt Dumbbell Raise,Shoulders,36.0,5,,,,""
2020-01-16,Rear Delt Dumbbell Raise,Shoulders,36.0,5,,,,""
2020-01-16,Standing Calf Raise Machine,Legs,105.0,6,,,,""
2020-01-16,Standing Calf Raise Machine,Legs,105.0,6,,,,""
2020-01-16,Standing Calf Raise Machine,Legs,105.0,5,,,,""
2020-01-16,Seated Calf Raise Machine,Legs,100.0,6,,,,""
2020-01-16,Seated Calf Raise Machine,Legs,130.0,6,,,,""
2020-01-17,Flat Barbell Bench Press,Chest,50.0,12,,,,""
2020-01-17,Flat Barbell Bench Press,Chest,50.0,10,,,,""
2020-01-17,Flat Barbell Bench Press,Chest,70.0,4,,,,""
