Time,Kb
-173,21304170592
-172,21307199448
-171,20987379276
-170,21149117364
-169,21151369908
-168,21173774576
-167,21336274356
-166,21355930088
-165,20407385064
-164,20112213212
-163,21225475472
-162,20418665624
-161,21202776360
-160,21350244640
-159,21079980624
-158,21252176112
-157,21568061040
-156,21379403428
-155,22185488444
-154,22272028720
-153,22592288448
-152,22428991020
-151,22265250684
-150,22331774432
-149,23160129628
-148,23234651368
-147,23234800744
-146,22579629116
-145,23412597420
-144,23833590120
-143,23576778036
-142,23831637624
-141,24506307672
-140,23852464904
-139,23306946588
-138,24176653176
-137,25106999124
-136,25215034488
-135,23410169004
-134,23875272428
-133,24421554076
-132,25432932980
-131,23191737092
-130,23146222916
-129,21750345644
-128,22851943600
-127,22653714184
-126,22622182540
-125,23459228016
-124,21103428052
-123,21486773456
-122,21608680540
-121,21870605804
-120,23034805308
-119,20814483480
-118,20786070420
-117,22092975728
-116,21250721032
-115,20782870592
-114,19546138284
-113,20610379904
-112,20803863660
-111,20524935256
-110,18752433180
-109,18745690064
-108,19054836796
-107,18516546864
-106,19423707048
-105,18892305628
-104,18962149680
-103,17605683068
-102,18407136276
-101,17855254896
-100,17641095808
-99,17574495324
-98,18012090260
-97,16972662164
-96,16885713068
-95,17481672980
-94,17346315660
-93,17640389464
-92,16210773916
-91,17352886508
-90,17274082224
-89,17330908148
-88,16707280600
-87,18090510464
-86,16849058896
-85,17557545348
-84,17267008648
-83,17989134040
-82,18278766708
-81,17204797652
-80,16617686252
-79,17184592924
-78,15682105728
-77,15897052028
-76,17199251016
-75,17237521152
-74,15454772332
-73,15884121676
-72,17205082072
-71,17951006572
-70,18590332868
-69,15792644712
-68,16936413172
-67,17742136744
-66,17040334708
-65,16111179860
-64,17233505700
-63,17407797880
-62,15745592688
-61,16115154320
-60,16906179224
-59,18489752344
-58,16917055876
-57,18596183004
-56,16743313296
-55,18174932532
-54,16659176596
-53,17473046112
-52,17267713864
-51,18886565368
-50,17295529048
-49,16582115788
-48,17315263684
-47,18137219772
-46,16820269324
-45,16842592828
-44,17330885360
-43,17407997032
-42,17222199148
-41,17037474744
-40,16774718264
-39,17669339280
-38,16711269632
-37,17232442960
-36,17044502192
-35,17710475140
-34,16537343040
-33,17872767216
-32,16574566956
-31,17629056596
-30,17914204596
-29,17604355652
-28,16094742980
-27,17551294220
-26,17028252492
-25,18296195572
-24,17093163000
-23,17522102184
-22,18405963524
-21,15436833080
-20,17013980968
-19,17113501380
-18,15711532480
-17,16355626532
-16,16890941088
-15,17200461200
-14,16824141568
-13,18238091156
-12,16473248724
-11,17417499720
-10,16350487896
-9,16868828128
-8,16613396284
-7,17416312816
-6,16256357464
-5,15801713184
-4,16546573528
-3,16758772976
-2,16274129420
-1,16511893892
